CounterClockwiseContourIntegral;,∳,8755
quaternions;,ℍ,8461
subsetneqq;,⫋,10955
succapprox;,⪸,10936
succcurlyeq;,≽,8829
supsetneqq;,⫌,10956
thickapprox;,≈,8776
updownarrow;,↕,8597
Bernoullis;,ℬ,8492
CirclePlus;,⊕,8853
EqualTilde;,≂,8770
Fouriertrf;,ℱ,8497
ImaginaryI;,ⅈ,8520
Laplacetrf;,ℒ,8466
LeftVector;,↼,8636
Lleftarrow;,⇚,8666
NotElement;,∉,8713
NotGreater;,≯,8815
NotSubset;,⊂⃒,8834
Proportion;,∷,8759
RightArrow;,→,8594
RightFloor;,⌋,8971
Rightarrow;,⇒,8658
TildeEqual;,≃,8771
TildeTilde;,≈,8776
UnderBrace;,⏟,9183
UpTeeArrow;,↥,8613
bigotimes;,⨂,10754
checkmark;,✓,10003
circledast;,⊛,8859
complement;,∁,8705
curlywedge;,⋏,8911
gtrapprox;,⪆,10886
gvertneqq;,≩︀,8809
lmoustache;,⎰,9136
lvertneqq;,≨︀,8808
mapstodown;,↧,8615
mapstoleft;,↤,8612
nLeftarrow;,⇍,8653
ncongdot;,⩭̸,10861
nleftarrow;,↚,8602
rightarrow;,→,8594
rmoustache;,⎱,9137
sqsubseteq;,⊑,8849
sqsupseteq;,⊒,8850
straightphi;,ϕ,981
subseteqq;,⫅,10949
supseteqq;,⫆,10950
upuparrows;,⇈,8648
varepsilon;,ϵ,1013
varnothing;,∅,8709
Backslash;,∖,8726
CircleDot;,⊙,8857
Congruent;,≡,8801
Coproduct;,∐,8720
DDotrahd;,⤑,10513
DownArrow;,↓,8595
Downarrow;,⇓,8659
HumpEqual;,≏,8783
LeftArrow;,←,8592
LeftFloor;,⌊,8970
Leftarrow;,⇐,8656
LessLess;,⪡,10913
LessTilde;,≲,8818
Mellintrf;,ℳ,8499
MinusPlus;,∓,8723
NotCupCap;,≭,8813
NotExists;,∄,8708
OverBrace;,⏞,9182
Therefore;,∴,8756
ThinSpace;, ,8201
TripleDot;,⃛,8411
Uarrocir;,⥉,10569
UnionPlus;,⊎,8846
andslope;,⩘,10840
angmsdaa;,⦨,10664
angmsdab;,⦩,10665
angmsdac;,⦪,10666
angmsdad;,⦫,10667
angmsdae;,⦬,10668
angmsdaf;,⦭,10669
angmsdag;,⦮,10670
angmsdah;,⦯,10671
angrtvbd;,⦝,10653
backprime;,‵,8245
backsimeq;,⋍,8909
bigoplus;,⨁,10753
bigsqcup;,⨆,10758
biguplus;,⨄,10756
bsolhsub;,⟈,10184
capbrcup;,⩉,10825
cirfnint;,⨐,10768
complexes;,ℂ,8450
cupbrcap;,⩈,10824
dotsquare;,⊡,8865
downarrow;,↓,8595
drbkarow;,⤐,10512
dzigrarr;,⟿,10239
eqvparsl;,⧥,10725
fpartint;,⨍,10765
geqslant;,⩾,10878
gesdotol;,⪄,10884
gnapprox;,⪊,10890
gtreqless;,⋛,8923
heartsuit;,♥,9829
hksearow;,⤥,10533
hkswarow;,⤦,10534
infintie;,⧝,10717
intlarhk;,⨗,10775
laemptyv;,⦴,10676
ldrushar;,⥋,10571
leftarrow;,←,8592
leqslant;,⩽,10877
lesdotor;,⪃,10883
lesseqgtr;,⋚,8922
lnapprox;,⪉,10889
lurdshar;,⥊,10570
notindot;,⋵̸,8949
nparallel;,∦,8742
npreceq;,⪯̸,10927
nshortmid;,∤,8740
nsubseteq;,⊈,8840
nsucceq;,⪰̸,10928
nsupseteq;,⊉,8841
otimesas;,⨶,10806
pitchfork;,⋔,8916
plusacir;,⨣,10787
pointint;,⨕,10773
precneqq;,⪵,10933
raemptyv;,⦳,10675
rationals;,ℚ,8474
rppolint;,⨒,10770
rtriltri;,⧎,10702
scpolint;,⨓,10771
smeparsl;,⧤,10724
spadesuit;,♠,9824
subsetneq;,⊊,8842
succneqq;,⪶,10934
supsetneq;,⊋,8843
therefore;,∴,8756
timesbar;,⨱,10801
triangleq;,≜,8796
triminus;,⨺,10810
varpropto;,∝,8733
CenterDot;,·,183
DotEqual;,≐,8784
DoubleDot;,¨,168
DownBreve;,̑,785
Integral;,∫,8747
NotEqual;,≠,8800
NotTilde;,≁,8769
PartialD;,∂,8706
PlusMinus;,±,177
Precedes;,≺,8826
RightTee;,⊢,8866
Succeeds;,≻,8827
SuchThat;,∋,8715
Superset;,⊃,8835
approxeq;,≊,8778
awconint;,∳,8755
backcong;,≌,8780
barwedge;,⌅,8965
bbrktbrk;,⎶,9142
bemptyv;,⦰,10672
bigodot;,⨀,10752
bigwedge;,⋀,8896
bnequiv;,≡⃥,8801
boxminus;,⊟,8863
boxtimes;,⊠,8864
ccupssm;,⩐,10832
cemptyv;,⦲,10674
centerdot;,·,183
circledS;,Ⓢ,9416
cirscir;,⧂,10690
clubsuit;,♣,9827
congdot;,⩭,10861
cudarrl;,⤸,10552
cudarrr;,⤵,10549
cularrp;,⤽,10557
curarrm;,⤼,10556
curlyvee;,⋎,8910
cwconint;,∲,8754
dbkarow;,⤏,10511
ddotseq;,⩷,10871
demptyv;,⦱,10673
doteqdot;,≑,8785
dotminus;,∸,8760
dwangle;,⦦,10662
elinters;,⏧,9191
emptyset;,∅,8709
equivDD;,⩸,10872
gesdoto;,⪂,10882
gtquest;,⩼,10876
harrcir;,⥈,10568
imagline;,ℐ,8464
imagpart;,ℑ,8465
integers;,ℤ,8484
intercal;,⊺,8890
intprod;,⨼,10812
larrbfs;,⤟,10527
larrsim;,⥳,10611
lbrksld;,⦏,10639
lbrkslu;,⦍,10637
ldrdhar;,⥧,10599
lesdoto;,⪁,10881
llcorner;,⌞,8990
lotimes;,⨴,10804
lrcorner;,⌟,8991
ltquest;,⩻,10875
luruhar;,⥦,10598
maltese;,✠,10016
mapstoup;,↥,8613
minusdu;,⨪,10794
multimap;,⊸,8888
naturals;,ℕ,8469
nparsl;,⫽⃥,11005
npolint;,⨔,10772
nrarrc;,⤳̸,10547
nsubset;,⊂⃒,8834
nsupset;,⊃⃒,8835
nvinfin;,⧞,10718
nvltrie;,⊴⃒,8884
nvrtrie;,⊵⃒,8885
olcross;,⦻,10683
orslope;,⩗,10839
parallel;,∥,8741
pluscir;,⨢,10786
plussim;,⨦,10790
plustwo;,⨧,10791
precnsim;,⋨,8936
profalar;,⌮,9006
profline;,⌒,8978
profsurf;,⌓,8979
quatint;,⨖,10774
rarrbfs;,⤠,10528
rarrsim;,⥴,10612
rbrksld;,⦎,10638
rbrkslu;,⦐,10640
rdldhar;,⥩,10601
realpart;,ℜ,8476
rotimes;,⨵,10805
ruluhar;,⥨,10600
setminus;,∖,8726
shortmid;,∣,8739
simplus;,⨤,10788
simrarr;,⥲,10610
sqsubset;,⊏,8847
sqsupset;,⊐,8848
subedot;,⫃,10947
submult;,⫁,10945
subplus;,⪿,10943
subrarr;,⥹,10617
subseteq;,⊆,8838
succnsim;,⋩,8937
supdsub;,⫘,10968
supedot;,⫄,10948
suphsol;,⟉,10185
suphsub;,⫗,10967
suplarr;,⥻,10619
supmult;,⫂,10946
supplus;,⫀,10944
supseteq;,⊇,8839
thicksim;,∼,8764
topfork;,⫚,10970
triangle;,▵,9653
triplus;,⨹,10809
tritime;,⨻,10811
trpezium;,⏢,9186
ulcorner;,⌜,8988
urcorner;,⌝,8989
uwangle;,⦧,10663
varkappa;,ϰ,1008
vsubnE;,⫋︀,10955
vsupnE;,⫌︀,10956
vzigzag;,⦚,10650
Aopf;,𝔸,120120
Ascr;,𝒜,119964
Because;,∵,8757
Bopf;,𝔹,120121
Cayleys;,ℭ,8493
Cconint;,∰,8752
Colone;,⩴,10868
Cscr;,𝒞,119966
Diamond;,⋄,8900
Dopf;,𝔻,120123
DownTee;,⊤,8868
Dscr;,𝒟,119967
Element;,∈,8712
Eopf;,𝔼,120124
Fopf;,𝔽,120125
Gopf;,𝔾,120126
Gscr;,𝒢,119970
Implies;,⇒,8658
Iopf;,𝕀,120128
Jopf;,𝕁,120129
Jscr;,𝒥,119973
Kopf;,𝕂,120130
Kscr;,𝒦,119974
LeftTee;,⊣,8867
Lopf;,𝕃,120131
Mopf;,𝕄,120132
NoBreak;,⁠,8288
NotLess;,≮,8814
Nscr;,𝒩,119977
Oopf;,𝕆,120134
Oscr;,𝒪,119978
Otimes;,⨷,10807
OverBar;,‾,8254
Product;,∏,8719
Pscr;,𝒫,119979
Qscr;,𝒬,119980
Rarrtl;,⤖,10518
Sopf;,𝕊,120138
Sscr;,𝒮,119982
Topf;,𝕋,120139
Tscr;,𝒯,119983
Uopf;,𝕌,120140
UpArrow;,↑,8593
Uparrow;,⇑,8657
Uscr;,𝒰,119984
Vdashl;,⫦,10982
Vopf;,𝕍,120141
Vscr;,𝒱,119985
Wopf;,𝕎,120142
Wscr;,𝒲,119986
Xopf;,𝕏,120143
Xscr;,𝒳,119987
Yopf;,𝕐,120144
Yscr;,𝒴,119988
Zscr;,𝒵,119989
alefsym;,ℵ,8501
andand;,⩕,10837
angrtvb;,⊾,8894
angzarr;,⍼,9084
aopf;,𝕒,120146
apacir;,⩯,10863
ascr;,𝒶,119990
asympeq;,≍,8781
backsim;,∽,8765
because;,∵,8757
between;,≬,8812
bigcirc;,◯,9711
bigstar;,★,9733
bkarow;,⤍,10509
bopf;,𝕓,120147
boxbox;,⧉,10697
boxplus;,⊞,8862
bscr;,𝒷,119991
capand;,⩄,10820
capcap;,⩋,10827
capcup;,⩇,10823
capdot;,⩀,10816
circledR;,®,174
cirmid;,⫯,10991
coloneq;,≔,8788
copf;,𝕔,120148
cscr;,𝒸,119992
cupcap;,⩆,10822
cupcup;,⩊,10826
ddagger;,‡,8225
dfisht;,⥿,10623
diamond;,⋄,8900
dopf;,𝕕,120149
dotplus;,∔,8724
dscr;,𝒹,119993
easter;,⩮,10862
egsdot;,⪘,10904
elsdot;,⪗,10903
eopf;,𝕖,120150
eparsl;,⧣,10723
eqcolon;,≕,8789
ffilig;,ﬃ,64259
ffllig;,ﬄ,64260
fopf;,𝕗,120151
fscr;,𝒻,119995
gesdot;,⪀,10880
gesles;,⪔,10900
gopf;,𝕘,120152
gtlPar;,⦕,10645
gtrarr;,⥸,10616
gtrless;,≷,8823
hopf;,𝕙,120153
hscr;,𝒽,119997
iiiint;,⨌,10764
iinfin;,⧜,10716
iopf;,𝕚,120154
iscr;,𝒾,119998
isindot;,⋵,8949
jopf;,𝕛,120155
jscr;,𝒿,119999
kopf;,𝕜,120156
kscr;,𝓀,120000
lAtail;,⤛,10523
langle;,⟨,10216
larrfs;,⤝,10525
larrpl;,⤹,10553
latail;,⤙,10521
lates;,⪭︀,10925
lesdot;,⩿,10879
lesges;,⪓,10899
lessdot;,⋖,8918
lessgtr;,≶,8822
